TITLE="fun3d_case_title"
VARIABLES="Iteration" "R_1" "R_2" "R_3" "R_4" "R_5" "R_6" "C_L" "C_D" "C_M_x" "C_M_y" "C_M_z" "Wall Time" "C_x" "C_y" "C_z" "C_Lp" "C_Dp" "C_Lv" "C_Dv" "C_M_xp" "C_M_yp" "C_M_zp" "C_M_xv" "C_M_yv" "C_M_zv" "C_xp" "C_yp" "C_zp" "C_xv" "C_yv" "C_zv"
ZONE  I=500 F=POINT
1  0.2921154027E-02  0.1927961658E-01  0.3089718708E-17  0.8140029614E-17  0.7092561976E-01  0.2859783380E+00 -0.3360595161E-01  0.2940139793E-02 -0.1680000516E-01  0.8453645945E-01 -0.1468143549E-02  0.1702300000E+01  0.2940139793E-02  0.8150891801E-06 -0.3360595161E-01 -0.3360595161E-01  0.2940139793E-02  0.0000000000E+00  0.0000000000E+00 -0.1680000516E-01  0.8453645945E-01 -0.1468143549E-02  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.2940139793E-02  0.8150891801E-06 -0.3360595161E-01  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00
2  0.1963380070E-02  0.1295393649E-01  0.1032805806E-06  0.5991215723E-03  0.4742718114E-01  0.2314559396E+00 -0.7352514851E-01  0.6432616979E-02 -0.3675802426E-01  0.1846352332E+00 -0.3206190325E-02  0.2594300000E+01  0.6432616979E-02  0.4678794284E-05 -0.7352514851E-01 -0.7352514851E-01  0.6432616979E-02  0.0000000000E+00  0.0000000000E+00 -0.3675802426E-01  0.1846352332E+00 -0.3206190325E-02  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.6432616979E-02  0.4678794284E-05 -0.7352514851E-01  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00
3  0.1125993553E-02  0.7389702073E-02  0.3937598086E-06  0.8172641005E-03  0.2723473622E-01  0.1871463158E+00 -0.1081804256E+00  0.9464560853E-02 -0.5407664553E-01  0.2707915762E+00 -0.4693183656E-02  0.3486600000E+01  0.9464560853E-02  0.1740557795E-04 -0.1081804256E+00 -0.1081804256E+00  0.9464560853E-02  0.0000000000E+00  0.0000000000E+00 -0.5407664553E-01  0.2707915762E+00 -0.4693183656E-02  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.9464560853E-02  0.1740557795E-04 -0.1081804256E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00
4  0.6603091856E-03  0.4250717090E-02  0.9237233897E-06  0.9486968833E-03  0.1623494355E-01  0.1510995904E+00 -0.1143434107E+00  0.1000375218E-01 -0.5717237489E-01  0.2845894329E+00 -0.4883501399E-02  0.4382400000E+01  0.1000375218E-01  0.5103393334E-04 -0.1143434107E+00 -0.1143434107E+00  0.1000375218E-01  0.0000000000E+00  0.0000000000E+00 -0.5717237489E-01  0.2845894329E+00 -0.4883501399E-02  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.1000375218E-01  0.5103393334E-04 -0.1143434107E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00
5  0.6086038746E-03  0.3923855828E-02  0.1827363663E-05  0.8986882304E-03  0.1481840809E-01  0.1218075084E+00 -0.1167955270E+00  0.1021828456E-01 -0.5840524377E-01  0.2895543766E+00 -0.4808230453E-02  0.5275000000E+01  0.1021828456E-01  0.1217579159E-03 -0.1167955270E+00 -0.1167955270E+00  0.1021828456E-01  0.0000000000E+00  0.0000000000E+00 -0.5840524377E-01  0.2895543766E+00 -0.4808230453E-02  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.1021828456E-01  0.1217579159E-03 -0.1167955270E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00
6  0.6214835306E-03  0.4009874266E-02  0.4112602293E-05  0.9254704037E-03  0.1501967864E-01  0.9804050627E-01 -0.1174401770E+00  0.1027468413E-01 -0.5876712781E-01  0.2913349484E+00 -0.4527305728E-02  0.6167800000E+01  0.1027468413E-01  0.2341891131E-03 -0.1174401770E+00 -0.1174401770E+00  0.1027468413E-01  0.0000000000E+00  0.0000000000E+00 -0.5876712781E-01  0.2913349484E+00 -0.4527305728E-02  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.1027468413E-01  0.2341891131E-03 -0.1174401770E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00
7  0.6615509802E-03  0.4249328367E-02  0.9564131250E-05  0.1000799384E-02  0.1588102471E-01  0.7878111134E-01 -0.1169325327E+00  0.1023027101E-01 -0.5858092644E-01  0.2903734915E+00 -0.4085913961E-02  0.7060400000E+01  0.1023027101E-01  0.3751988083E-03 -0.1169325327E+00 -0.1169325327E+00  0.1023027101E-01  0.0000000000E+00  0.0000000000E+00 -0.5858092644E-01  0.2903734915E+00 -0.4085913961E-02  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.1023027101E-01  0.3751988083E-03 -0.1169325327E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00
8  0.7124756807E-03  0.4550239398E-02  0.1941646729E-04  0.1134470496E-02  0.1698398672E-01  0.6322204189E-01 -0.1160465307E+00  0.1015275588E-01 -0.5821178153E-01  0.2882807097E+00 -0.3669030152E-02  0.7953300000E+01  0.1015275588E-01  0.4893781631E-03 -0.1160465307E+00 -0.1160465307E+00  0.1015275588E-01  0.0000000000E+00  0.0000000000E+00 -0.5821178153E-01  0.2882807097E+00 -0.3669030152E-02  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.1015275588E-01  0.4893781631E-03 -0.1160465307E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00
9  0.7515231246E-03  0.4777898422E-02  0.3199600174E-04  0.1283859736E-02  0.1786677549E-01  0.5068199150E-01 -0.1152990855E+00  0.1008736290E-01 -0.5788405813E-01  0.2863912854E+00 -0.3473431050E-02  0.8849800000E+01  0.1008736290E-01  0.5206108725E-03 -0.1152990855E+00 -0.1152990855E+00  0.1008736290E-01  0.0000000000E+00  0.0000000000E+00 -0.5788405813E-01  0.2863912854E+00 -0.3473431050E-02  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.1008736290E-01  0.5206108725E-03 -0.1152990855E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00
10  0.7562876604E-03  0.4799943842E-02  0.4383707980E-04  0.1344908077E-02  0.1801708732E-01  0.4060098497E-01 -0.1148201372E+00  0.1004546035E-01 -0.5765586305E-01  0.2851137496E+00 -0.3474876309E-02  0.9743400000E+01  0.1004546035E-01  0.4879514529E-03 -0.1148201372E+00 -0.1148201372E+00  0.1004546035E-01  0.0000000000E+00  0.0000000000E+00 -0.5765586305E-01  0.2851137496E+00 -0.3474876309E-02  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.1004546035E-01  0.4879514529E-03 -0.1148201372E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00
